
Group,Class,Sub-Class,Description,
,,661103,Activities of Crypto assets exchanges ,
,,661199,Activities of administration of other financial markets (except insurance and pension funding) n.e.c.,
,6612,,Security and commodity contracts brokerage ,
,,,"This class excludes:
- dealing in financial markets on own account, see division 64
- portfolio management, on a fee or contract basis, see 6630
- buying and selling of real estate projects, e.g. wind or solar parks, see division 68
- trading and brokerage of crypto assets without a corresponding liability (not by a monetary authority), see 8299
- donation-based fundraising, see 8299",
,,661201,"Dealing in financial markets on behalf of others, including stock broking, securities brokerage, and brokerage of investment funds shares",
,,661202,Standardized commodity contracts brokerage,
,,661203,Currency trading on behalf of others,
,,661204,"Equity-based crowdfunding, and debt-based crowdfunding offering securities",
,,661205,Activities of currency exchanges,
,,661299,"Other securities and commodity contracts brokerage n.e.c., including trade and brokerage of crypto assets with liabilities",
,6619,,"Other activities auxiliary to financial service activities, except insurance and pension funding",
,,,"This class excludes:
- publishing of financial markets analysis, see class 5819
- information search services regarding financial markets, see 6392
- crypto assets exchange, see 6611
- brokerage activities, see 6612
- brokerage of crypto assets, see 6612
- activities of insurance agents and brokers, see 6622
- management of funds, see 6630
- activities of debt collection agencies and non-performing loans servicers, see 8291",
,,661901,"Financial transaction processing and settlement activities, including digital (or internet-based) payment provision and settlement activities for credit card transactions (payment gateways)",
,,661902,"Investment advisors/ consultant (including robo-advisory services and analysing financial markets as an advisory service), mortgage and loan advisors, financial advisors in relation to mergers and acquisition services",
,,661903,Activities of digital currency wallet providers,
,,661904,Validation and mining for crypto assets deemed financial assets,
,,661905,"Tokenization of digital assets, including security token offerings and initial coin offerings",
,,661906,Consumer credit intermediation,
,,661907,"Activities of payment providers including Fintech, e.g., electronic funds transfer services, P2P lending/ payment services and Unified Payments Interface (UPI) transactions.",
,,661908,Activities of Account Aggregators,
,,661909,"RegTech services that provide technology-driven solutions to streamline regulatory compliance, including anti-money laundering (AML) checks, fraud detection, automated reporting, real-time monitoring, and risk management tools for financial institutions.",
,,661910,"Other Fintech activities including Suptech, cross-border payment platforms, GreenTech/green finance",
,,661911,Post office/ bank agents providing investment services,
,,661999,"Other activities auxiliary to financial service activities, except insurance and pension funding n.e.c. including trustee, fiduciary, and custody services on a fee or contract basis, securities custody",
662,,,Activities auxiliary to insurance and pension funding,
,6621,,Risk and damage evaluation,
,,,"This class includes the provision of administration services of insurance, such as assessing and settling insurance claims.
This class excludes:
- appraisal of real estate, see 6829
- appraisal for other purposes, see 7499
- investigation activities, see 8001",
 ,,662100,"Providing administrative services related to insurance, such as assessing and settling insurance claims like,assessing insurance claims, claims adjusting, risk assessing, risk and damage evaluation, average and loss adjusting, and settling insurance claims (Third Party Agents)",
,6622,,Activities of insurance agents and brokers ,
,,662200,"Activities of insurance agents and brokers (insurance intermediaries) involved in selling, negotiating, or soliciting annuities, as well as insurance and reinsurance policies.",
,6629,,Other activities auxiliary to insurance and pension funding,
,,,"This class excludes:
- marine salvage activities, see 5222
- publishing of insurance software/applications, see class 5829",
,,662901,Pension and insurance advisory activities,
,,662902,"Administration of financial markets for insurance and pension funding services e.g. IRDA, PFRDA",
,,662999,Other activities auxiliary to insurance and pension funding n.e.c. including salvage administration and actuarial services,
663,,,Fund management activities,
,6630,,Fund management activities,
,,,"This class includes portfolio and fund management activities, for instance making decisions on which investments to purchase or sell, on a fee or contract basis, for individuals, businesses and others.

This class excludes
- dealing in financial markets on own-account, see 6499
- management of real estate, see division 68",
,,663001,Management of mutual funds,
,,663002,Management of pension funds,
,,663003,"Activities of asset management including portfolio management, on a fee or contract basis",
,,663099,Other fund management activities n.e.c.,
SECTION M : Real estate activities,,,,
,DIVISION 68 : Real estate activities,,,
681,,,Real estate activities with own or leased property,
,6810,,Real estate activities with own or leased property,
,,,"This class excludes:
- operation of hotels, suite hotels, holiday homes, rooming houses, campgrounds, trailer parks and other non-residential or short-stay accommodation places (including student accommodation) provided for less than one year, see division 55
- rental of machinery, see 773
- residential care activities for older persons or persons with physical disabilities, including supervision and assistance in daily living, see 8730",
,,681001,"Renting and operating self-owned or leased apartment buildings, homes and flats ",
,,681002,"Renting and operating of office buildings, coworking spaces",
,,681003,"Renting and  operating of exhibition halls, banquet halls and similar spaces",
,,681004,"Renting and operating Malls, spaces for commercial activities (including storage spaces), self storage spaces and similar activities",
,,681005,Renting and operating of real estate space for data centres and cloud infrastructure,
,,681006,"Renting of space for solar energy, wind energy and other renewable energy installations",
,,681007,"Renting and operating land, including agricultural and forestry land",
,,681008,"Development of building projects for sale and for own operation, i.e. for renting space in these buildings",
,,681099,Other real estate rental and leasing n.e.c. including renting of plant and factory buildings and letting of roofs for mobile towers,
682,,,Real estate activities on a fee or contract basis,
,6821,,Intermediation service activities for real estate,
,,,"This class includes the intermediation of buying, selling and rental of real estate by bringing clients and sellers or service providers together for a fee or commission. These intermediation activities can be carried out on digital platforms or through non-digital channels (face-to-face including door-to-door, phone, mail, etc.). The fee or commission can be received from either the client or the seller of the real estate or the provider of the real estate service. Revenue for the intermediation activities can include other sources of income, such as revenues from selling advertising space to third parties. This class includes the provision of real estate activities by real estate agencies or independent real estate agents.

This class excludes:
- legal activities, see 6910
- activities of real estate escrow agents, see 6829",
,,682100,"Intermediation in buying, selling, and rental of real estate through direct broker-client interactions on a fee or contract basis",
,6829,,Other real estate activities on a fee or contract basis,
,,,"This class excludes:
- legal activities, see 6910
- asset management activities as part of financial management consulting, see 7020
- facilities support services (combination of services such as general interior cleaning, maintenance and making minor repairs, trash disposal, guard and security), see 8110",
,,682901,"Activities of valuation of real estate, appraisal services",
,,682902,Management of real estate such as property management of real estate or dwellings in joint ownership (mostly done on a fee or contract basis),
,,682999,Other real estate activities on a fee or contract basis n.e.c. including rent collecting,
"SECTION N : Professional, scientific and technical activities",,,,
,DIVISION 69 : Legal and accounting activities,,,
691,,,Legal activities,
,6910,,Legal activities,
,,,"This class excludes:
- law court activities, see 8423
- social mediation, see 8890",
,,691001,"General legal counselling, advice, consultancy and representation in legal matters in civil, criminal and labour law disputes including representation before courts and other judicial bodies",
,,691002,Activities of rent collection agencies,
,,691099,"Other legal activities n.e.c. including notary services, arbitration and mediation by legal professionals",
692,,,"Accounting, bookkeeping and auditing activities; tax consultancy",
,6920,,"Accounting, bookkeeping and auditing activities; tax consultancy",
,,,"This class excludes:
- provision of accounting software, see 621
- data-processing and tabulation activities, see 6310
- management consultancy on accounting systems, budgetary control procedures, see 7020
- bill collection, see 8291",
,,692001,Accounting and bookkeeping services ,
,,692002,Auditing services,
,,692003,"Tax consultancy services (tax filing, planning, advisory)",
,DIVISION 70 : Activities of head offices; management consultancy activities,,,
701,,,Activities of head offices,
,7010,,Activities of head offices,
,,,"This class includes: the overseeing and managing of other units of the enterprise or enterprise group i.e. acting as head office; undertaking the strategic or organisational planning and decision-making role of the company or enterprise; exercising operational control and managing the day-to-day operations of their related units. These activities are the same regardless of which activities the managed units perform (financing, manufacturing trade, etc.

This class excludes:
- activities of holding companies, not engaged in head office activities, see 6421",
,,701000,"Activities of overseeing, managing, excersing operational control and decision making role of the enterprise or enterprise group acting as head office",
702,,,Business and other management consultancy activities,
,7020,,Business and other management consultancy activities,
,,,"This class includes the provision of advice, guidance and operational assistance to businesses and other organizations on management issues, such as strategic and organizational planning; decision areas that are financial in nature; marketing objectives and policies; human resource policies, practices and planning; production scheduling and control planning.

This class excludes:
- design of computer software for accounting systems, see 6201
- legal advice and representation, see 6910
- accounting, bookkeeping and auditing activities, tax consulting, see 6920
- architectural, engineering and other technical advisory activities, see 7110, 7490
- advertising activities, see 7310
- market research and public opinion polling, see 7320
- executive placement or search consulting services, see 7810
- activities of casting agents, see 7810
- educational consulting activities, see 8550",
,,702001,Business consulting and management services (for profit) including reconstructuring consultancy,
,,702002,"Design of accounting methods or procedures, cost accounting programmes, budgetary control procedures",
,,702003,Policy advocacy services (non-profit),
,,702099,Other Business and management consultancy services activities n.e.c. including activities of cost accountants,
,DIVISION 71 : Architectural and engineering activities; technical testing and analysis,,,
711,,,"Architectural and engineering, and related technical consultancy activities",
,7110,,"Architectural and engineering, and related technical consultancy activities",
,,,"This class includes the provision of architectural services, engineering services, drafting services, building inspection services and surveying and mapping services and the like.

This class excludes:
- test drilling in connection with mining operations, see 0910, 0990
- development or publishing of associated software, see 5820, 6201
- activities of computer consultants, see 6202, 6209
- technical testing, see 7120
- research and development activities related to engineering, see 7210
- industrial design, see 7410
- interior decorating, see 7410
- aerial photography, see 7420",
,,711001,Building design and drafting,
,,711002,Town and city planning and landscape architecture,
,,711003,Engineering design and consulting ,
,,711004,"Geophysical, geologic, seismic surveying and geodetic surveying activities such as  land and boundary surveying activities, hydrologic surveying activities, Space and Launch Vehicle technology consultancy services and similar activities",
,,711005,Naval architecture and offshore engineering ,
,,711099,"Other architectural and engineering, and related technical consultancy activities n.e.c.",
712,,,Technical testing and analysis,
,7120,,Technical testing and analysis,
,,,"This class excludes:
- testing of animal specimens, for sanitary reasons and not associated with food production, see 7500
- diagnostic imaging, testing and analysis of medical and dental specimens, see 86
- inspections of air ducts, water and gas pipes, associated with repair or installation, see section F
- sampling and weighing as part of goods handling operations, see 5229
- penetration testing of computer systems, ethical hacking and cybersecurity, see division 62
- consulting activity carried out by companies or professionals in order to obtain a certification, see 7020
- DNA sequencing for general research on biological processes, see 7210
- DNA sequencing for ruling out or curing a specific disease, see 8699",
,,712001,Food hygiene and safety testing services,
,,712002,Performance Testing of Mechanical and Electronic Equipment,
,,712003,Environmental Quality Testing and Monitoring Services,
,,712004,"Certification of products, including consumer goods, motor vehicles, aircraft, pressurized containers etc.",
,,712005,Road-safety testing of motor vehicles,
,,712006,Forensic and Criminal Investigation Laboratory Services,
,,712007,"Quality assessment and certification services like, hallmark and similar services",
,,712099,Other technical testing and analysis services n.e.c.,
,DIVISION 72 : Scientific research and development,,,
721,,,Research and experimental development on natural sciences and engineering,
,7210,,Research and experimental development on natural sciences and engineering,
,,,"This class excludes:
- DNA sequencing for ruling out or curing a specific disease, see 86",
,,721001,Research and development on natural sciences,
,,721002,Research and development on engineering and technology,
,,721003,"Research and development on medical sciences, health and life sciences, and veterinary sciences including Ayush research",
,,721004,Research and development on biotechnology including DNA sequencing for general research on biological processes,
,,721005,"Research and development on agricultural, forestry and fisheries sciences",
,,721006,"Interdisciplinary research and development, predominantly on natural sciences and engineering",
,,721007,Research and development on Space Science,
,,721099,Research and experimental development on natural sciences and engineering n.e.c.,
722,,,Research and experimental development on social sciences and humanities,
,7220,,Research and experimental development on social sciences and humanities,
,,,"This class excludes:
- market research, see 7320",
,,722001,Research & Development on Economics and Business Administration,
,,722002,"Research & Development on Arts, Languages and Culture",
,,722003,Interdisciplinary Research & Development,
,,722099,Research & Development on other social sciences and Humanities n.e.c.,
,"DIVISION 73 : Activities of advertising, market research and public relations",,,
731,,,Advertising activities,
,7310,,Advertising activities,
,,,"This class includes the creation of advertising campaigns and placement of such advertising in periodicals, newspapers, radio and television, on the Internet, or other media as well as the design of display structures and sites. These advertising activities are often provided via advertising agencies and media representatives.

This class excludes:
- publishing of advertising material, see 5819
- production of commercial messages for radio, television and film, see 5911
- public-relations activities, see 7020
- market research, see 7320
- graphic design activities, see 7410
- advertising photography, see 7420
- convention and trade show organizers, see 8230
- mailing activities, see 8219
- advertising services used to fund predominant activity of the business which may be provided free of charge, see predominant activity",
,,731001,"Advertising and Marketing Services through physical mode excluding through newspaper, pamphlets and similar modes",
,,731002,"Advertising and Marketing Services through newspaper, pamphlets and similar modes",
,,731003,Advertising and Marketing Services through digital/electronic mode,
732,,,Market research and public opinion polling activities,
,7320,,Market research and public opinion polling activities,
,,,"This class excludes:
- advertising, see group 7310
- undertaking telephone interviews for market and opinion research surveys on a contract or fee basis, see 8220",
,,732001,Market Research Activities other than public opinion polling activities,
,,732002,Public opinion polling activities,
733,,,Public relations activities,
,7330,,Public relations activities,
,,,"This class includes the provision of advice, guidance and operational assistance, including lobbying activities, to businesses and other organisations on public relations and communication.

This class excludes:
- lobbying consultancy activities, see 7020
- advertising agencies and media representation services, see 7310
- market research and public opinion polling, see 7320
- design and consulting with respect to visual communication, see 7410",
,,733000,Public relations activities,
,"DIVISION 74 : Other professional, scientific and technical activities",,,
741,,,Specialized design activities,
,7410,,Specialized design activities,
,,,"This class includes:
- industrial design, carried out also through specialised software, i.e. creating and developing designs and specifications that optimize the use, value and appearance of products, including the determination of the materials, construction, mechanism, shape, colour and surface finishes of the product, taking into consideration human characteristics and needs, safety, market appeal and efficiency in production, distribution, use and maintenance

This class excludes:
- design of computer-produced graphics for animations, see 5912
- design and programming of web pages, see 6201
- architectural design, see 7110
- engineering design, i.e. applying physical laws and principles of engineering in the design of machines, materials, instruments, structures, processes and systems, see 7110
- theatrical stage-set design, see 9000",
,,741001,"Fashion design related to textiles, wearing apparel, shoes, jewellery",
,,741002,Interior Designing including Furniture,
,,741003,Services of graphic designers,
,,741004,Industrial Design,
,,741005,"Household Product Design, excluding Furniture",
,,741099,Other specialized design activities n.e.c.,
742,,,Photographic activities,
,7420,,Photographic activities,
,,,"This class excludes:
- activities of printing photographs (from cellular phones, memory cards, USB and other electronic supports), see 1812
- processing motion picture film related to the motion picture and television industries, see 5912
- cartographic and spatial information activities, see 7110
- photogrammetric surveying activities, see 7110
- operation of photoautomats for printing photos from electronical records, e.g. from telephone, memory cards, flash drives, see 9699",
,,742001,Photography (Commercial and consumer),
,,742002,Videography (Events),
,,742003,Photography and videography (Journalists),
,,742099,Other photographic and videography activities n.e.c.,
743,,,Translation and interpretation activities,
,7430,,Translation and interpretation activities,
,,,"This class excludes:
- development of translation tools and training translation engines, see 621
- publishing translation software, see 5829
- language teaching activities, see 8559",
,,743000,"Translation and interpretation of languages, including sign language, whether spoken or written",
749,,,"Other professional, scientific and technical activities n.e.c.",
,7491,,Patent brokering and marketing service activities,
,,,"This class excludes:
- leasing of intellectual property and similar products, see 7740
- buying and selling patents and similar intellectual property rights on own account, see 7740",
,,749101,Copyright Brokering,
,,749102,Intellectual property brokering excluding copyright brokering,
,,749103,Marketing Services for rights to Intellectual Property,
,,749104,Collective rights management organizations,
,,749199,Other patent brokering and marketing service activities n.e.c.,
,7499,,"All other professional, scientific and technical activities n.e.c.",
,,,"This class includes variety of service activities generally delivered to commercial clients. It includes those activities for which more advanced professional, scientific and technical skill levels are required, but does not include ongoing, routine business functions that are generally of short duration.
This class excludes:
- activities of commission agents, commodity brokers and other wholesalers trading on the account of others without owning the intermediated goods at any time, see 4610
- intermediation service activities for retail sale, see 4790
- activities of real estate brokers, see 6821
- bookkeeping activities, see 6920
- activities of management consultants, see 7020
- activities of architecture and engineering consultants, see 7110
- activities of quantity surveyors, see 7110
- industrial and machinery design, see 7110, 7410
- veterinary testing and control in relation to food production, see 7120
- sales promotion service activities, see division 7330
- display of advertisement and other advertising design, see 7310
- creation of stands and other display structures and sites, see 7310
- activities of convention and trade show organisers, see 8230
- activities of independent auctioneers, see 8299
- administration of loyalty programmes, see 8299
- consumer credit and debt counselling, see 8890
- environmental engineering activities, see 7110
- patent brokerage activities, see 7491
- management of rights to industrial property, e.g. patents, licenses, trademarks, franchises etc., see 7491
- management of rights in intellectual property, e.g. copyrights, and their revenues, see 7491
- consultation of medical doctors, see group 8620",
,,749901,Business brokerage activities excluding copyright and intellectual property brokerage,
,,749902,Weather forecasting activities,
,,749903,Security consulting activities,
,,749904,Environmental consulting activities,
,,749905,"Activities carried out by agents and agencies on behalf of individuals usually involving the obtaining of engagements in motion picture, theatrical production or other entertainment or sports attractions and the placement of books, plays, artworks, photographs etc., with publishers, producers etc.",
,,749999,"Other professional, scientific and technical activities n.e.c.",
,DIVISION 75 : Veterinary activities,,,
750,,,Veterinary activities,
,7500,,Veterinary activities,
,,,"This class excludes:
- farm animal boarding activities without health care, see 0162
- sheep shearing, see 0162
- herd testing, droving and agistment services, poultry caponising, see 0162
- activities related to artificial insemination, see 0162
- animal genetic testing activities, 7210
- testing and control of animals before slaughter in relation to food production, see 7120
- scientific research on animal genetics, see 7220
- pet animal boarding activities without health care, see 9690",
,,750001,Animal health care and control activities for farm animals,
,,750002,Animal health care and control activities for pet animals,
,,750003,Animal rehabilitation and physiotherapy activities,
,,750099,Other veterinary activities n.e.c.,
SECTION O : Administrative and support service activities,,,,
,DIVISION 77 : Rental and leasing activities,,,
771,,,Rental and leasing of motor vehicles,
,7710,,Rental and leasing of motor vehicles,
,,,"This class excludes:
- renting or leasing of vehicles or trucks with driver, see 4922, 4923",
,,771001,Rental and leasing of passenger cars (without drivers),
,,771002,"Renting and leasing of two wheelers such as motorcycles and scooters (without drivers), excluding bicyles",
,,771003,Renting and leasing of auto-rickshaws and e-rickshaws (without drivers),
,,771099,Renting and leasing of other motor vehicles without driver n.e.c.,
772,,,Rental and leasing of personal and household goods,
,7721,,Rental and leasing of recreational and sports goods,
,,,"This class excludes:
- rental of pleasure boats and sailing boats with crew, see 5011, 5021
- rental of video tapes and discs, see 7729
- rental of other personal and household goods, see 7729
- rental and leasing of water transport equipment for passengers or freight, e.g. boats, ships, hovercraft, without operator, see 7730
- rental of leisure and pleasure equipment as an integral part of recreational facilities, see 9329",
,,772101,"Renting and leasing of bicycles, including electric bicycles",
,,772102,"Renting and leasing of sailboats, yachts and similar recreational and sports equipments (Without Operator)",
,,772103,Renting and leasing of camping gear including tents and other adventure sports equipments,
,,772199,"Renting and leasing of other recreational and sports goods n.e.c. such as beach chairs, beach umbrellas and similar goods",
,7729,,Rental and leasing of other personal and household goods,
,,,"This class excludes:
- providing accommodation services in tents, see section I
- rental of cars, motorcycles, trucks, trailers and recreational vehicles without driver, see 771
- rental of recreational and sports goods, see 7721
- rental of office furniture, see 7730
- rental of non-motorised caravans, see 7730
- independent online gaming/video game sites, see 6039
- provision of online games by the publisher (not only one-time purchases, but also subscriptions as well as in-game purchases and in-app purchases), see 5821
- provision of combined rental and care services including washing and cleaning of textiles, e.g. linen, work uniforms and related items, see 9610",
,,772901,"Renting and leasing of furniture (excluding office furniture) and electrical appliances for household use such as Refrigerator, ACs, Geyser and similar appliances",
,,772902,"Rental and leasing of goods and equipments for events such as lighting equipments, tents, karaoke machines, fans, speakers and similar goods, excluding for household use",
,,772903,"Renting and leasing of jewellery, textile goods, wearing apparels and footwear (except for sports and recreational use)",
,,772999,Rental and leasing of other personal and household goods n.e.c.,
773,,,"Rental and leasing of other machinery, equipment and tangible goods",
,7730,,"Rental and leasing of other machinery, equipment and tangible goods",
,,,"This class excludes:
- renting of agricultural and forestry machinery or equipment with operator, see 0161, 0240
- renting of construction and civil engineering machinery or equipment with operator, see division 43
- renting of water-transport equipment with operator, see division 50
- renting of air-transport equipment with operator, see division 51
- financial leasing, see 6491
- renting of pleasure boats, see 7721
- renting of bicycles, see 7721",
,,773001,"Renting and operational leasing of power generation machinery/equipment such as engines, turbines, generators and similar equipments without operator ",
,,773002,"Renting and operational leasing of mining, forestry and agricultural machinery and equipment such as tractors and similar machinery without operator ",
,,773003,"Renting and operational leasing of construction and civil-engineering machinery and equipment such as crane lorries, work platforms and similar equipments without operator",
,,773004,"Renting and operational leasing of office machinery, furniture and equipment without operator including computers and computer peripheral equipments",
,,773005,"Renting and operational leasing of land-transport equipment (Excluding motor vehicles and motorcycles) such as railroad vehicles, without drivers 
",
,,773006,Renting and operational leasing of water-transport equipment such as commercial boats and ships without operator excluding those for sports and recreational purposes ,
,,773007,"Renting and operational leasing of air transport equipment such as airplanes, hot air-baloons and similar equipments without operator",
,,773099,"Rental and leasing of other machinery, equipment and tangible goods n.e.c. including Renting and operational leasing of Spacecraft Services and Operations",
774,,,"Leasing of intellectual property and similar products, except copyrighted works",
,7740,,"Leasing of intellectual property and similar products, except copyrighted works",
,,,"This class includes the activities of allowing others to use intellectual property products and similar products for which a royalty payment or licensing fee is paid to the owner of the product (i.e. the asset holder). The leasing of these products can take various forms, such as permission for reproduction, use in subsequent processes or products, operating businesses under a franchise etc. The current owners may or may not have created these products.

This class excludes:
- acquisition of rights and publishing, see divisions 58 and 59
- producing, reproducing and distributing copyrighted works (books, software, film), see divisions 58 and 59
- streaming of content, such as software and books, by content publishers, see division 58
- audio book streaming activities not associated with its publishing, see 6010
- leasing of real estate, see 6810
- leasing of tangible products (assets), see groups 771, 772, 773",
,,774000,Leasing of non-financial intangible assets ,
775,,,Intermediation service activities for rental and leasing of tangible goods and non-financial intangible assets,
,7751,,"Intermediation service activities for rental and leasing of cars, motorhomes and trailers",
,,,"This class includes the intermediation of the rental and leasing of cars, motorhomes and trailers, by bringing clients and service providers together for a fee or commission, without the intermediary providing the rental and leasing services that are intermediated. These intermediation activities can be carried out on digital platforms or through non-digital channels (face-to-face including door-to-door, phone, mail, etc.).
The fee or commission can be received from either the client or the provider of the rental and leasing service. Revenue for the intermediation activities can include other sources of income, such as revenues from advertising.

This class excludes:
- rental and leasing of cars, motorhomes and trailers, see 7710
- intermediation service activities for passenger transportation, see 5232",
,,775100,"Intermediation service activities for rental and leasing of cars, motorhomes and trailers",
,7752,,Intermediation service activities for rental and leasing of other tangible goods and non-financial intangible assets,
,,,"This class includes the intermediation of the rental and leasing of other tangible goods and non-financial intangible assets, by bringing clients and service providers together for a fee or commission, without the intermediary providing the rental and leasing services that are intermediated. These intermediation activities can be carried out on digital platforms or through non-digital channels (face-to-face including door-to-door, phone, mail, etc.). The fee or commission can be received from either the client or the provider of the rental and leasing service. Revenue for the intermediation activities can include other sources of income, such as revenues from advertising.

This class includes:
- Intermediation between households that offer their goods for rental and households renting the goods (e.g. lawn movers, ladders, bicycles) and similar activities

This class excludes:
- units that have ownership of the tangible goods and/or non-financial intangible asserts ultimately rented and leased. see 772 & 773
- rental and leasing of personal and household goods and other equipment and tangible goods, see 772, 773",
,,775200,"Intermediation service activities for rental and leasing of other tangible goods and non-financial intangible assets other than cars, motorhomes and trailers",
,DIVISION 78 : Employment activities,,,
781,,,Activities of employment placement agencies,
,7810,,Activities of employment placement agencies,
,,,"This class includes listing employment vacancies and referring or placing applicants for employment, where the individuals referred or placed are not employees of the employment agencies.

This class excludes:
- activities of invoicing service, see 6920
- activities of personal theatrical or artistic agents or agencies, see 7499
- activities of agencies providing babysitters and au-pairs for households, see 7820",
,,781000,Activities of employment placement agencies where the agency is not the employer,
782,,,Temporary employment agency activities and other human resource provisions,
,7820,,Temporary employment agency activities and other human resource provisions,
,,,"This class includes the activities of supplying workers to clients' businesses for specific periods of time to temporarily replace or supplement the working force of the client. In that employment arrangement, the temporary employment agency or human resource providers are the employers of the individual workers provided. However, the clients are responsible for the supervision of temporary personnel.

The activities are providing human resources for client businesses. The units classified here represent the employer of record for the employees on matters relating to payroll, taxes, and other fiscal and human resource issues, but they are not responsible for direction and supervision of employees. The units classified here perform a wide range of human resource and personnel management duties associated with this provision.

This class excludes:
- activities of invoicing service, see 6920",
,,782000,Temporary employment agency activities and other human resource provisions where the agency is the employer,
,"DIVISION 79 : Travel agency, tour operator, and other travel related activities",,,
791,,,Travel agency and tour operator activities,
,7911,,Travel agency activities,
,,,"This class excludes:
- intermediation service activities for passenger transportation only, see 5232
- intermediation service activities for accommodation only, see 5540
- selling of travel boxes: form of distribution of a service linked to travel, but a deferred service, which can be of any nature: hotels, restaurants, care, leisure activities, etc.), see 8299
- activities of factual and legal actions related to the conclusion of contracts for provision of tourist services, at the request of the customer, see division 69",
,,791100,Travel agency activities,
,7912,,Tour operator activities,
,,,"This class excludes:
- sale of packaged tours, see 7911",
,,791200,Tour operator activities,
799,,,Other travel related activities,
,7990,,Other travel related activities,
,,,"This class excludes:
- the activities of travel agencies and tour operators, see 7911, 7912
- organisation and management of events such as meetings, conventions and conferences including transport, accommodation, ticketing if managed by the organiser itself, see 8230
- ticket reservation and sales activities for theatrical, sports and other amusement and entertainment events, see 8240
- fee-based reservation activities for passenger transportation, see 5232
- time-share exchange services, see 5540
- fee-based reservation activities for food services, see 5640
- fee-based reservation activities for accommodation, see 5540",
,,799000,"Other travel related activities such as reservation service and related activities, provision of travel information to visitors, activities of independent tourist guides, tourism promotion activities",
,DIVISION 80 : Investigation and security activities,,,
801,,,Investigation and security activities,
,8011,,Investigation and private security activities,
,,,"This class excludes:
- risk analysis, security advice and consulting, see 8019
- concierge, reception and doormen safety services, see 8110, 8210
- security, including cyber security training, see 8559
- remote surveillance activities, see 8019
- public order and safety activities, see 8423",
,,801101,"Investigation services in the private, commercial, insuarance and legal field",
,,801102,Guard and security services activities,
,,801199,"Other private security services n.e.c. such as celebrity protection, VIP protection and similar services",
,8019,,Security activities n.e.c,
,,,"This class includes the provision of one or more of the following services: security system services as part of security service centres or alarm receiving centres (ARC); remote monitoring and video surveillance systems services, and, only if provided in connection with later monitoring and remote monitoring services, installation, repair and maintenance of electronic security systems.

This class excludes:
- installation of security systems, e.g. burglar, surveillance systems and fire alarms, without later monitoring and remote monitoring services, see 4321
- retail sale of electrical security alarm systems, mechanical or electronic locking devices, safes and security vaults, without monitoring, installation or maintenance services, see 4759
- public order and safety activities, e.g. policing, see 8423
- providing key duplication services, see 9529
- cyber security consulting activities, see 6220
- Security consulting activities, see 7499",
,,801901,"Installation and maintenance of electronic security systems, such as burglar or theft alarms, video surveillance systems and fire alarms, if provided in connection with later monitoring and remote monitoring services",
,,801999,Other security activities n.e.c.,
,DIVISION 81 : Services to buildings and landscape activities,,,
811,,,Combined facilities support activities,
,8110,,Combined facilities support activities,
,,,"This class includes the provision of a combination of support services within clients’ facilities. These services include general interior cleaning, maintenance, trash disposal, doormen and surveillance services, mail routing, reception, laundry and related services to support operations within facilities. These support activities are performed by operating staff, which is not involved with or responsible for the core business or activities of the client.

This class excludes:
- provision of only one of the support services (e.g. general interior cleaning services) or addressing only a single function (e.g. heating), see the appropriate class according to the service provided
- provision of management and operating staff for the complete operation of a client's establishment, such as a hotel, restaurant, mine, or hospital, see the class of the unit operated
- provision of on site management and operation of a client's computer systems and/or data processing facilities, see 6220
- management of real estate, e.g. property management of real estate or dwellings in joint ownership, see 6829
- guard and security service activities, see 8011
- operation of correctional facilities on a contract or fee basis, see 8423",
,,811001,Combined facilities support activities in industrial parks,
,,811099,Other Combined facilities support activities n.e.c.,
812,,,Cleaning activities,
,8121,,General cleaning of buildings,
,,,"This class excludes:
- specialised cleaning activities, e.g. cleaning of windows, chimneys, fireplaces, boilers, exhaust units, see 8129",
,,812100,General cleaning of all types of buildings,
,8129,,Other Cleaning activities,
,,,"This class excludes:
- agriculture pest control, see 0161
- cleaning of sewers and drains, see 3700
- automobile cleaning, car wash, see 9532",
,,812901,"Cleaning of trains, buses, aeroplanes etc.",
,,812902,Cleaning of industrial machinery,
,,812999,"Other cleaning activities n.e.c. such as swimming pool cleaning and maintenance, exterior cleaning of buildings of all types, specialised cleaning for buildings (windows, chimneys, exhausts, etc.), disinfecting activities, street sweeping and snow and ice removal, steam cleaning, sand blasting and similar activities for building exteriors",
813,,,Landscape service activities,
,8130,,Landscape service activities,
,,,"This class excludes:
- protection or restoration activities of agricultural and forest land, see divisions 01 and 02
- commercial growing and planting for commercial growing of plants, trees, see divisions 01 and 02
- tree nurseries and forest tree nurseries, see 0130, 0210
- keeping the land in good environmental condition for agricultural use, see 0161
- restoration of marine ecosystems, see 0330
- construction activities for landscaping purposes, see section F
- landscape design and architecture activities, see 7110
- operation of national parks, nature reserves etc., include conservation and maintenance, see 914",
,,813000,Landscape care and maintenance service activities,
,"DIVISION 82 : Office administrative, office support and other business support activities",,,
821,,,Office administrative and support activities,
,8210,,Office administrative and support activities,
